127.0.0.1 - - [11/Jun/2024:09:06:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:06:58 +0900] "GET /JSP/ HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:06:58 +0900] "GET /JSP/images/image1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:06:58 +0900] "GET /JSP/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:06:58 +0900] "GET /JSP/images/image2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:06:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:07:01 +0900] "GET /JSP/login.jsp? HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:07:05 +0900] "GET /JSP/next.jsp? HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:07:09 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:07:13 +0900] "POST /JSP/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:07:13 +0900] "GET /JSP/member.jsp HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:09:54 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:09:54 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:09:57 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:05 +0900] "POST /JSP/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:05 +0900] "GET /JSP/member.jsp HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:12 +0900] "GET /JSP/success.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:16 +0900] "GET /JSP/success.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:25 +0900] "GET /JSP/ HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:26 +0900] "GET /JSP/login.jsp? HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:27 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:33 +0900] "POST /JSP/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:33 +0900] "GET /JSP/member.jsp HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:10:58 +0900] "GET /JSP/ HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:11:00 +0900] "GET /JSP/login.jsp? HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:11:01 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:11:04 +0900] "POST /JSP/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:11:04 +0900] "GET /JSP/success.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:14:06 +0900] "GET /JSP/mypage.jsp? HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:14:08 +0900] "GET /JSP/login.jsp? HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:14:37 +0900] "GET /JSP/ HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [11/Jun/2024:09:14:38 +0900] "GET /JSP/ HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:15:48 +0900] "GET /JSP/ HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:15:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:15:52 +0900] "GET /JSP/login.jsp? HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:15:54 +0900] "GET /JSP/insert.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:15:58 +0900] "POST /JSP/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:15:58 +0900] "GET /JSP/success.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [11/Jun/2024:16:16:02 +0900] "GET /JSP/next3.jsp HTTP/1.1" 404 801
